,views
0,1975604.0618925642
1,1008161.1482870963
2,5944899.953136786
3,58542.7646962665
4,660155.7102014137
5,214495.24625563947
6,1426826.9241127914
7,813821.4080660786
8,721334.7774352302
9,1968490.485039975
10,455150.7884692636
11,282175.37213481753
12,588584.6907256825
13,3919275.6959495666
14,39361.50009285449
15,144992.43679827522
16,385778.6914880427
17,736272.9034249908
18,372734.0252450602
19,28847238.269560285
20,853967.2936832977
21,51921.97405319032
22,895369.2134462392
23,299936.58886919427
24,368439.7146048553
25,-2256761.6165253846
26,611038.2518566076
27,148443140.82399267
28,2122348.992420744
29,474148.10157196
30,7830981.567314391
31,274693.6394742953
32,2723795.660090373
33,1562951.0763253146
34,555951.4020728273
35,5944899.953136786
36,2559600.7932937085
37,99057.3899930974
38,1522088.8976193343
39,403360.1039412301
40,3487083.353477994
41,802766.7788425368
42,70825.04063317808
43,1649560.131178979
44,181406.1903010169
45,341959.4886028797
46,291272.627047071
47,122446.78677459597
48,1771146.0608412763
49,582638.3174509478
50,306976.41964335204
51,777109.9076741555
52,1356239.6415492462
53,3752447.917690209
54,1637321.274498556
55,6098500.002597051
56,398094.51499201637
57,1522088.8976193343
58,237062.971143733
59,2693938.5955498125
60,4003753.889589508
61,622126.6801649805
62,2462.600304425461
63,1937748.1780146807
64,289326.56784056476
65,9228.946004403988
66,3122666.7063124664
67,531045.696222191
68,333043.8882411127
69,936085.6517435212
70,4881641.148151635
71,1522088.8976193343
72,149259.36243121722
73,69658.1199048392
74,527095.7752321071
75,514564.34861975734
76,345249.39652574924
77,519959.1955599289
78,320673.9713651994
79,3996786.898506143
80,792089.9822896317
81,837127.0667639857
82,437304.64892543666
83,4032040.202578497
84,3319949.6028843448
85,258612.79283533967
86,553960.302996346
87,811244.070294508
88,2032745.9857561847
89,2674532.2700638277
90,527829.0400602038
91,322580.65411777585
92,1298595.0364266103
93,15585790.52848902
94,1522088.8976193343
95,649498.3585633193
96,1089324.8668992666
97,384661.0093350506
98,1522088.8976193343
99,768910.9236088684
100,77089.39741633437
101,110483.5702856821
102,515303.90366452956
103,2988742.940183767
104,874236.6970072847
105,31262.510223050835
106,1281501.8805034305
107,1072179.5413232853
108,452329.0584687677
109,954033.8362161196
110,1316467.3046015683
111,1522088.8976193343
112,352984.5026505303
113,427424.90631910716
114,3149860.592703377
115,349070.8919109134
116,121180.32823290885
117,118318.90658034757
118,48781.097961049294
119,489342.05860385427
120,36123.209429429844
121,9574.763181516668
122,1004911.9780606227
123,8085846.845119012
124,16884.235740178963
125,208250.93479432818
126,1522088.8976193343
127,680551.3086490401
128,915398.2867464907
129,6547010.688460522
130,9096440.728097742
